adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,revilla_bong,estrada_jinggoy,defensorsantiago_miriam,drilon_frank,enrile_juanponce_sr,cayetano_pia,marcos_ferdinand_jr,recto_ralph,sotto_tito,osmena_serge,lapid_lito,guingona_teofisto_iii,hontiveros_risa,biazon_rozzano_rufino,devenecia_jose_iii,remulla_gilbert_cesar,lim_danilo,roco_sonia,querubin_ariel,pimentel_gwendolyn,acosta_nereus_jr,lacson_alex,tamano_adel,osmena_emiliomario,maza_liza,ocampo_saturnino,tatad_francisco,lozada_jose_apolinario_jr,mitra_ramon,langit_rey,bello_silvestre_iii,lao_yasmin,papin_imelda,ople_susan,bautista_martin,plaza_rodolfo,bautista_jv,guico_ramon_jr,lambino_raul,villanueva_hector,ocampo_ramoncito,inocencio_ma_katherine,palparan_jovito_jr,tinsay_alexander,alonto_zafrullah,tamayo_reginald,espinosa_nanette,maambong_regalado,david_rizalito,albani_shariff,virgines_israel,paredes_zosimo,sison_adrian,imbong_jo_aurea,princesa_reynaldo,nikabulin_adz,caunan_henry,valdehuesa_manuel_jr,tarrazona_hector,rinoza_plazo_maria_gracia,lood_alma
405607000,405600000,400000000,Calauag,Mun,15878,18573,12501,11285,11834,9864,6862,9938,8647,7684,10438,7268,6092,6685,6274,4920,6458,4442,4552,4156,2990,4148,1996,2789,2230,2133,2543,2374,1674,2692,733,1006,2159,941,1059,362,887,379,342,769,566,550,697,341,253,460,508,310,407,165,251,210,305,202,235,205,159,102,107,84,78
405608000,405600000,400000000,Candelaria,Mun,26816,29041,22211,24106,25336,18083,15071,17565,15721,15510,14302,15756,17387,14723,12498,10450,11012,9852,8069,7840,8683,6996,4816,3795,5891,4683,4262,3485,3793,2494,800,3408,1974,1808,3307,416,2459,561,449,752,853,931,655,663,482,654,432,428,483,210,410,356,413,261,462,336,218,142,130,100,120
405610000,405600000,400000000,Catanauan,Mun,14665,17053,11297,11289,13473,8619,5328,10313,6780,7042,8588,7201,5621,6601,5942,4321,6704,4161,5108,3910,4065,4784,1483,2512,2263,2086,2219,2217,1330,1722,709,1609,1545,789,1740,262,1122,413,406,598,598,452,570,284,232,371,431,332,446,153,190,188,336,228,204,161,167,115,104,95,86
431200000,431200000,400000000,City of Lucena,City,50902,59429,49849,51294,46445,42145,33412,34776,33770,34635,30267,35667,33842,30692,26202,22671,26350,22272,16888,15589,18271,15210,12030,8944,13312,10192,9136,9610,7172,6092,3803,6360,4571,4980,5725,0,3231,1272,2115,1814,1856,2482,1835,1387,930,1548,1006,894,998,442,855,761,869,602,841,710,417,319,309,252,248
405647000,405600000,400000000,City of Tayabas,City,24667,24876,20562,20207,19879,17130,13258,16097,13953,14144,16154,12886,14896,11891,11051,9927,11508,8673,9486,5967,6727,6299,3760,3624,5189,4543,3676,3649,2610,4833,2654,2330,2000,1730,2187,429,1268,739,1784,798,740,973,661,497,305,595,441,325,515,168,313,318,505,300,344,231,142,161,119,98,90
405615000,405600000,400000000,Dolores,Mun,6727,7622,5977,6348,6222,5139,3605,5010,4202,4203,3551,3827,4477,3393,3406,2792,3181,2494,3052,1743,2319,1836,1052,1017,1846,1190,1080,1281,719,888,421,805,608,430,740,156,511,159,132,207,229,325,244,183,91,153,126,114,141,57,80,59,114,66,94,58,58,31,39,28,34
405616000,405600000,400000000,General Luna,Mun,5412,6101,4392,3810,4348,3424,2220,3571,2650,2481,2894,2529,2152,2278,2191,1559,2089,1446,1842,3793,1280,1320,509,844,1130,771,701,859,392,812,225,460,520,277,435,160,271,111,115,240,142,139,244,75,72,152,156,96,116,58,78,74,122,67,63,46,52,33,24,19,29
405617000,405600000,400000000,General Nakar,Mun,7002,7095,4481,3532,3474,3417,2546,3492,2843,2036,4436,1879,1382,1756,2087,1171,2358,1306,2903,1289,1050,1818,427,905,1332,1234,818,747,549,1557,336,282,1346,317,321,119,381,129,147,518,373,281,370,276,206,199,296,112,263,88,232,154,165,147,159,151,74,74,59,60,31
405618000,405600000,400000000,Guinayangan,Mun,9416,11062,7485,7500,7345,5699,4077,6905,5052,4689,5994,4986,3751,4845,3389,2613,2996,3166,2645,2707,2626,2877,914,1705,1087,1070,1363,1250,748,1148,411,945,1543,438,882,197,551,151,139,470,410,314,442,224,197,234,258,168,244,106,200,177,196,106,191,153,108,64,66,47,42
405619000,405600000,400000000,Gumaca,Mun,14563,15311,12912,12948,11838,10844,7560,10330,9603,8883,9574,8558,8712,8057,6688,4965,5785,6047,4758,4249,4362,4197,2588,2186,2601,2421,3635,2009,1467,2292,826,1455,1664,919,1424,424,714,330,370,593,547,668,636,453,296,393,347,216,329,124,265,264,278,194,269,234,132,79,125,77,61
405620000,405600000,400000000,Infanta,Mun,15199,17582,13548,12498,11028,11769,7859,11164,8838,8092,8601,7779,7077,6985,7145,5441,7204,4869,8273,4078,3535,4434,2152,2476,3256,2812,2363,2554,1740,2985,1117,1213,1995,1140,1213,285,794,282,440,756,559,648,601,423,234,497,433,234,351,164,286,218,371,201,233,195,145,116,98,83,65
405621000,405600000,400000000,Jomalig,Mun,1047,1048,659,597,600,494,342,462,531,299,732,273,240,295,292,190,154,231,166,195,166,268,64,146,93,97,255,100,103,263,70,32,180,57,62,25,64,53,65,74,56,32,37,38,35,35,48,31,45,22,28,28,33,28,19,24,17,17,17,4,6
405622000,405600000,400000000,Lopez,Mun,21041,22743,16735,14528,15342,13633,9536,14873,12264,9807,15425,9449,8857,9052,8161,5850,8681,6503,5219,6105,4455,5753,2490,3220,4001,3665,3820,2720,2039,3569,932,1350,3653,1147,1483,853,1043,437,544,1171,940,734,1123,574,464,594,657,326,688,217,478,380,463,314,433,326,206,158,166,121,139
405623000,405600000,400000000,Lucban,Mun,12280,12312,11783,11761,9331,10931,7856,9635,9277,7684,7081,6952,8618,7050,6166,6007,4855,4471,3900,3387,3950,3303,2669,1683,3144,2945,2383,2002,1718,1911,771,1088,1112,1130,1109,245,539,498,398,453,549,1070,361,588,312,385,267,159,240,86,364,242,210,132,223,239,73,81,64,63,63
405625000,405600000,400000000,Macalelon,Mun,5556,6390,4206,4008,4556,3619,2184,3786,2962,2867,3220,2628,2173,2280,2401,1593,2146,1787,1786,1447,1434,1589,546,933,807,735,723,971,523,852,254,559,663,315,531,111,396,172,177,291,237,215,230,166,133,151,206,114,213,83,118,103,206,91,134,86,77,46,58,39,53
405627000,405600000,400000000,Mauban,Mun,16399,16829,11303,10056,10376,9633,6125,9565,7323,6749,10038,6389,6599,5628,5962,4972,4961,4267,4432,3758,3627,4104,1895,2718,3634,3180,2052,2159,1584,2848,1011,1190,1641,860,1287,374,980,708,609,871,830,538,424,424,310,502,483,309,526,197,307,266,344,196,256,238,148,150,128,182,86
405628000,405600000,400000000,Mulanay,Mun,10692,11662,7287,7185,7407,6267,3847,6855,5265,4722,6411,4868,3356,4697,4270,2767,3227,3213,2956,2992,3075,3421,903,2011,1732,1567,1624,1540,1082,1470,506,1175,1375,603,1263,282,817,336,338,594,469,248,307,254,224,330,515,270,428,166,166,224,290,211,180,139,134,111,128,67,82
405629000,405600000,400000000,Padre Burgos,Mun,5671,6512,4876,4219,4786,3550,2960,3490,3107,2739,4002,2661,2749,2700,2196,1743,2203,1666,1547,1328,1193,1266,716,895,755,685,898,812,446,631,181,346,512,252,332,85,356,158,109,195,140,83,176,75,59,125,156,89,138,45,54,63,99,54,355,30,47,35,31,24,21
405630000,405600000,400000000,Pagbilao,Mun,14130,16404,12954,13136,12577,10321,8047,9480,8712,8689,8567,8791,8025,8219,6382,5880,7244,4447,4933,3577,4047,3768,2157,2278,3176,2906,2982,2334,1354,1623,642,1075,1075,1010,934,585,648,298,279,485,472,480,450,292,199,333,203,220,295,101,199,165,227,111,170,141,107,113,92,55,72
405631000,405600000,400000000,Panukulan,Mun,3300,3528,2354,1927,1945,1792,1289,1488,1403,1011,2297,1016,692,1017,1147,640,1355,695,1357,666,500,949,231,524,418,378,478,374,561,1163,188,138,637,172,187,71,168,215,110,264,156,112,79,132,87,88,151,77,113,42,106,63,79,43,89,64,45,31,28,16,33
405632000,405600000,400000000,Patnanungan,Mun,3809,3724,2573,2192,2171,1981,1326,1928,2300,1399,2937,943,614,878,1503,682,780,886,690,1122,523,1275,220,781,479,535,766,515,502,1527,296,145,1254,262,286,99,312,147,187,433,237,169,141,197,140,212,363,132,228,96,113,120,150,121,129,93,95,92,75,47,54
