adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,angara_edgardo,aquino_noynoy,arroyo_joker,bautista_martin,cantal_felix,cayetano_alanpeter,cayetano_joselito,chavez_melchor,coseteng_nikki,defensor_mike,enciso_ruben,escudero_chiz,estrella_antonio,gomez_richard,honasan_gringo,kiram_jamalul,lacson_ping,legarda_loren,lozano_oliver,magsaysay_vic,montano_cesar,oreta_tessie,orpilla_ed,osmena_john,pangilinan_kiko,paredes_zosimo,pichay_prospero,pimentel_koko,recto_ralph,roco_sonia,singson_chavit,sison_adrian,sotto_tito,trillanes_antonio_iv,villar_manny,wood_victor,zubiri_migz
600411000,600400000,600000000,Makato,Mun,5004,4585,3715,256,28,3179,217,548,1739,3350,27,5801,68,1184,2703,679,4633,6556,74,2585,3033,2113,23,2025,5624,186,3824,3511,3946,2009,1477,180,3155,2656,5220,31,4146
600412000,600400000,600000000,Malay,Mun,4295,5315,2854,403,69,4142,403,585,1643,2165,53,6960,192,1553,3773,419,5607,7213,115,1602,2860,1646,31,2883,5648,224,3442,3124,3642,2754,1355,123,2602,2944,4927,90,2605
600414000,600400000,600000000,Nabas,Mun,3475,4617,2275,194,86,3462,263,350,2088,2158,29,6137,175,1374,3835,329,5612,6965,99,1944,2648,1703,24,2808,4596,94,2841,3643,3000,2753,740,58,2776,3587,5470,120,2617
600415000,600400000,600000000,New Washington,Mun,5327,8079,4092,235,115,7185,319,421,3090,3594,33,9465,153,1103,5670,489,8786,9604,234,2478,2888,1856,39,3549,7163,260,3414,5029,4314,3851,1313,152,2704,5864,9273,125,4609
600416000,600400000,600000000,Numancia,Mun,3862,4449,3048,123,21,3867,138,351,2038,2378,15,5562,103,629,2868,154,3990,6295,46,1759,1301,1156,32,1569,5407,108,2168,3219,2904,2462,834,74,1452,3215,5233,84,3230
600417000,600400000,600000000,Tangalan,Mun,2927,2767,1823,95,24,2775,150,231,1133,1639,15,3818,85,825,2313,356,3317,4501,61,1392,1886,1193,6,1284,1397,64,2226,2199,2164,1432,679,23,2145,1990,3221,46,2182
500501000,500500000,500000000,Bacacay,Mun,8621,8531,18041,242,61,6373,230,665,2509,4094,75,14609,186,736,9828,277,8010,11290,108,3398,2831,1495,24,3234,9456,208,3727,4255,6019,11359,1228,141,1783,9067,11823,98,8238
500502000,500500000,500000000,Camalig,Mun,7862,9117,16462,441,123,6540,347,795,1600,5235,195,14861,341,810,8149,400,8797,13008,319,4217,3164,1693,69,3688,9327,248,6031,4739,5866,9649,1476,131,1632,8327,10084,315,7928
500506000,500500000,500000000,City of Legazpi,City,22147,22739,44927,1290,182,17904,807,1407,4775,14393,401,38755,596,2393,24299,1687,23486,29127,353,9322,7434,3328,248,8228,26116,1368,12333,12343,15846,22592,5133,809,3887,20889,26613,419,20729
500508000,500500000,500000000,City of Ligao,City,9411,12541,18184,267,98,8361,266,613,1918,6716,211,20126,227,962,10719,511,9650,16927,283,4405,4956,1767,107,3768,14143,382,4893,5126,7945,11964,2149,156,2717,13639,12352,221,10253
500517000,500500000,500000000,City of Tabaco,City,15209,18249,25029,563,166,14648,705,1334,4615,9504,271,26678,392,2194,18794,1025,15833,22412,289,5660,6911,2973,180,8236,16842,596,7809,9232,11494,19941,1648,305,4169,15306,14319,256,10172
500503000,500500000,500000000,Daraga,Mun,12824,15183,28782,647,71,11718,447,984,3243,9043,300,27423,219,1314,14606,867,15695,17764,246,6455,4683,2385,147,5613,17280,684,8618,9608,10615,18036,3451,351,2767,14648,18203,183,13987
500504000,500500000,500000000,Guinobatan,Mun,9138,8154,16280,350,48,7371,232,684,1685,6466,287,15333,319,714,9647,635,7410,12084,305,4086,4097,1785,92,3439,11054,336,6097,4526,7026,11117,1938,214,2544,9912,11364,235,10241
500505000,500500000,500000000,Jovellar,Mun,2179,1687,3145,44,18,1254,48,202,320,1493,40,3879,36,244,1642,96,1726,3064,42,1017,1167,476,24,882,2012,25,1243,971,1442,2014,485,14,831,1716,2359,63,1757
500507000,500500000,500000000,Libon,Mun,5491,4938,8611,160,24,3569,166,272,915,3584,32,9209,113,526,5926,260,5858,8615,137,1562,2385,997,38,1676,6462,175,2376,2239,4332,5605,815,50,2242,5111,6197,74,9056
500509000,500500000,500000000,Malilipot,Mun,4238,5276,8414,158,50,4159,192,411,1617,2058,46,7719,99,587,5663,207,4937,6720,75,1949,1900,959,52,2574,4869,147,2424,3061,3103,6774,685,85,1062,5122,4647,109,3320
500510000,500500000,500000000,Malinao,Mun,4622,4696,7185,137,81,3994,201,309,1822,2754,102,8519,121,675,5725,628,5283,7240,120,2025,3016,1365,66,2442,4898,178,2724,3322,2924,5868,998,69,1732,4841,4832,84,3661
500511000,500500000,500000000,Manito,Mun,2222,2145,5411,44,42,1436,58,167,378,1498,5,4894,32,220,2669,57,2383,3867,26,1437,919,407,14,945,2343,31,1659,1007,1605,3044,491,20,495,2886,3238,40,2825
500512000,500500000,500000000,Oas,Mun,5056,6420,9625,218,49,4560,166,447,1330,3877,81,10875,85,740,7755,255,6865,9101,103,3737,2910,1329,43,2398,7619,239,3638,3299,4152,9004,960,90,1923,7105,6856,145,6602
500513000,500500000,500000000,Pio Duran,Mun,4818,4551,6246,158,39,3460,176,661,868,3306,81,7700,86,692,4865,268,4747,7737,101,2186,3026,1245,46,2209,6185,168,3471,2373,3637,5375,1471,48,1936,4292,4447,139,4683
500514000,500500000,500000000,Polangui,Mun,10608,11846,19120,358,64,9837,460,580,2891,8607,153,20741,579,1270,13301,687,13114,17509,453,3234,5044,2128,95,4119,14450,495,5715,5515,9527,15266,3362,195,4916,13052,15235,407,12101
500515000,500500000,500000000,Rapu-Rapu,Mun,2598,2345,5961,85,43,1953,108,357,601,1420,108,4872,96,569,3291,147,2683,4233,79,1561,1439,666,40,1173,2962,93,2385,1668,1859,3215,553,33,676,2280,3824,84,2611
500516000,500500000,500000000,Santo Domingo,Mun,4896,4543,9763,113,52,3403,172,454,964,4189,32,8996,120,510,4977,271,4494,7573,66,1560,1678,857,111,1755,5249,227,4068,2497,3702,5646,718,79,1159,4730,5035,46,4692
