adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level,alcantara_samson,angara_sonny,aquino_bam,belgica_greco,binay_nancy,casino_teddy,cayetano_alanpeter,cojuangco_tingting,david_lito,delosreyes_jc,ejercito_jv,enrile_juanponce_jr,escudero_chiz,falcone_bal,gordon_dick,hagedorn_ed,honasan_gringo,hontiveros_risa,legarda_loren,llasos_marwil,maceda_manong_ernie,madrigal_jamby,magsaysay_mitos,magsaysay_ramon_jr,montano_mon,penson_ricardo,pimentel_koko,poe_grace,seneres_christian,trillanes_antonio_iv,villanueva_eddie,villar_cynthia,zubiri_migz
1705902000,1705900000,1700000000,Banton,Mun,8,215,184,7,178,43,249,13,8,9,102,108,295,4,185,200,104,158,300,4,53,91,68,160,9,18,189,255,5,153,90,185,130
1705903000,1705900000,1700000000,Cajidiocan,Mun,57,504,474,28,528,68,553,43,42,25,372,276,518,37,347,315,358,271,695,20,104,234,153,329,56,35,394,652,16,441,194,450,244
1705904000,1705900000,1700000000,Calatrava,Mun,119,1122,1010,105,1435,207,1167,359,105,57,1130,743,1385,58,744,736,944,607,1595,92,223,530,432,624,64,58,972,1367,36,869,574,1201,753
1705905000,1705900000,1700000000,Concepcion,Mun,107,931,818,65,1383,150,1113,142,52,35,646,618,990,40,645,362,657,469,1193,15,179,371,171,361,40,45,668,1048,15,852,286,1056,423
1705906000,1705900000,1700000000,Corcuera,Mun,88,1414,1399,91,2858,201,1713,376,74,57,1555,1103,1701,63,1220,781,1268,730,2117,47,564,756,674,803,88,79,1117,2115,32,927,818,1608,1093
1705916000,1705900000,1700000000,Ferrol,Mun,49,630,601,40,700,96,674,161,94,87,547,334,775,17,365,435,507,320,894,70,88,249,155,348,40,29,423,908,15,519,347,597,398
1705907000,1705900000,1700000000,Looc,Mun,162,3207,3063,134,3827,311,2661,950,134,107,2017,1407,4052,87,2194,1932,2184,1285,4350,60,506,996,1283,1356,174,194,1828,3326,54,3345,1091,3380,2090
1705908000,1705900000,1700000000,Magdiwang,Mun,133,1991,2119,105,2350,328,2208,154,80,79,1432,1222,2080,74,1358,988,1453,1139,2402,63,315,733,470,1109,160,131,1371,2467,40,1571,513,1772,716
1705909000,1705900000,1700000000,Odiongan,Mun,282,7696,6612,284,7413,1053,7940,1915,287,302,6229,5252,8207,193,4771,4658,6735,4037,9955,287,1305,3148,1819,4281,351,497,5626,9035,148,6727,3312,6551,4044
1705910000,1705900000,1700000000,Romblon,Mun,385,5429,5148,276,6648,846,5642,829,325,245,5475,3479,6097,215,4296,5247,5204,2663,6822,186,886,2664,1775,3886,334,280,4410,7402,175,4315,2450,6436,2671
