adm3_psgc,adm2_psgc,adm1_psgc,adm3_en,geo_level
501708000,501700000,500000000,Calabanga,Mun
501709000,501700000,500000000,Camaligan,Mun
501710000,501700000,500000000,Canaman,Mun
501711000,501700000,500000000,Caramoan,Mun
501716000,501700000,500000000,City of Iriga,City
501724000,501700000,500000000,City of Naga,City
501712000,501700000,500000000,Del Gallego,Mun
501713000,501700000,500000000,Gainza,Mun
501714000,501700000,500000000,Garchitorena,Mun
501715000,501700000,500000000,Goa,Mun
501717000,501700000,500000000,Lagonoy,Mun
501718000,501700000,500000000,Libmanan,Mun
501719000,501700000,500000000,Lupi,Mun
501720000,501700000,500000000,Magarao,Mun
501721000,501700000,500000000,Milaor,Mun
501722000,501700000,500000000,Minalabac,Mun
501723000,501700000,500000000,Nabua,Mun
501725000,501700000,500000000,Ocampo,Mun
501726000,501700000,500000000,Pamplona,Mun
501727000,501700000,500000000,Pasacao,Mun
501728000,501700000,500000000,Pili,Mun
501729000,501700000,500000000,Presentacion,Mun
501730000,501700000,500000000,Ragay,Mun
501731000,501700000,500000000,Sag?y,Mun
501732000,501700000,500000000,San Fernando,Mun
501733000,501700000,500000000,San Jose,Mun
501734000,501700000,500000000,Sipocot,Mun
501735000,501700000,500000000,Siruma,Mun
501736000,501700000,500000000,Tigaon,Mun
501737000,501700000,500000000,Tinambac,Mun
1001801000,1001800000,1000000000,Catarman,Mun
1001802000,1001800000,1000000000,Guinsiliban,Mun
1001803000,1001800000,1000000000,Mahinog,Mun
1001804000,1001800000,1000000000,Mambajao,Mun
1001805000,1001800000,1000000000,Sagay,Mun
601914000,601900000,600000000,City of Roxas,City
601901000,601900000,600000000,Cuartero,Mun
601902000,601900000,600000000,Dao,Mun
601903000,601900000,600000000,Dumalag,Mun
601904000,601900000,600000000,Dumarao,Mun
601905000,601900000,600000000,Ivisan,Mun
601906000,601900000,600000000,Jamindan,Mun
601907000,601900000,600000000,Ma-Ayon,Mun
601908000,601900000,600000000,Mambusao,Mun
601909000,601900000,600000000,Panay,Mun
601910000,601900000,600000000,Panitan,Mun
601911000,601900000,600000000,Pilar,Mun
601912000,601900000,600000000,Pontevedra,Mun
601913000,601900000,600000000,President Roxas,Mun
601915000,601900000,600000000,Sapi-An,Mun
601916000,601900000,600000000,Sigma,Mun
601917000,601900000,600000000,Tapaz,Mun
502001000,502000000,500000000,Bagamanoc,Mun
502002000,502000000,500000000,Baras,Mun
502003000,502000000,500000000,Bato,Mun
502004000,502000000,500000000,Caramoran,Mun
502005000,502000000,500000000,Gigmoto,Mun
502006000,502000000,500000000,Pandan,Mun
502007000,502000000,500000000,Panganiban,Mun
502008000,502000000,500000000,San Andres,Mun
502009000,502000000,500000000,San Miguel,Mun
502010000,502000000,500000000,Viga,Mun
502011000,502000000,500000000,Virac,Mun
402102000,402100000,400000000,Amadeo,Mun
402105000,402100000,400000000,City of Cavite,City
402119000,402100000,400000000,City of Tagaytay,City
402122000,402100000,400000000,City of Trece Martires,City
402123000,402100000,400000000,Gen. Mariano Alvarez,Mun
402107000,402100000,400000000,General Emilio Aguinaldo,Mun
402111000,402100000,400000000,Kawit,Mun
402112000,402100000,400000000,Magallanes,Mun
402113000,402100000,400000000,Maragondon,Mun
402114000,402100000,400000000,Mendez,Mun
402115000,402100000,400000000,Naic,Mun
402116000,402100000,400000000,Noveleta,Mun
402117000,402100000,400000000,Rosario,Mun
402118000,402100000,400000000,Silang,Mun
402120000,402100000,400000000,Tanza,Mun
402121000,402100000,400000000,Ternate,Mun
702201000,702200000,700000000,Alcantara,Mun
702202000,702200000,700000000,Alcoy,Mun
702203000,702200000,700000000,Alegria,Mun
702204000,702200000,700000000,Aloguinsan,Mun
702205000,702200000,700000000,Argao,Mun
702206000,702200000,700000000,Asturias,Mun
702207000,702200000,700000000,Badian,Mun
702208000,702200000,700000000,Balamban,Mun
702209000,702200000,700000000,Bantayan,Mun
702210000,702200000,700000000,Barili,Mun
702212000,702200000,700000000,Boljoon,Mun
702213000,702200000,700000000,Borbon,Mun
702215000,702200000,700000000,Carmen,Mun
702216000,702200000,700000000,Catmon,Mun
730600000,730600000,700000000,City of Cebu,City
731100000,731100000,700000000,City of Lapu-Lapu,City
731300000,731300000,700000000,City of Mandaue,City
702250000,702200000,700000000,City of Talisay,City
702251000,702200000,700000000,City of Toledo,City
702218000,702200000,700000000,Compostela,Mun
702219000,702200000,700000000,Consolacion,Mun
702220000,702200000,700000000,Cordova,Mun
702221000,702200000,700000000,Daanbantayan,Mun
702222000,702200000,700000000,Dalaguete,Mun
702223000,702200000,700000000,Danao City,City
702224000,702200000,700000000,Dumanjug,Mun
702225000,702200000,700000000,Ginatilan,Mun
702227000,702200000,700000000,Liloan,Mun
702228000,702200000,700000000,Madridejos,Mun
702229000,702200000,700000000,Malabuyoc,Mun
702231000,702200000,700000000,Medellin,Mun
702232000,702200000,700000000,Minglanilla,Mun
702233000,702200000,700000000,Moalboal,Mun
702235000,702200000,700000000,Oslob,Mun
702236000,702200000,700000000,Pilar,Mun
702237000,702200000,700000000,Pinamungajan,Mun
702238000,702200000,700000000,Poro,Mun
702239000,702200000,700000000,Ronda,Mun
702240000,702200000,700000000,Samboan,Mun
702241000,702200000,700000000,San Fernando,Mun
702242000,702200000,700000000,San Francisco,Mun
702243000,702200000,700000000,San Remigio,Mun
702244000,702200000,700000000,Santa Fe,Mun
702245000,702200000,700000000,Santander,Mun
702246000,702200000,700000000,Sibonga,Mun
702247000,702200000,700000000,Sogod,Mun
702248000,702200000,700000000,Tabogon,Mun
702249000,702200000,700000000,Tabuelan,Mun
